cohortId1,cohortId2,newCohortId,newCohortName,,,,
1794531,1794532,1001,MMF+RTX (Combination),,,,
1794530,1794529,1002,MMF+IVIG (Combination),,,,
1794395,1793813,1003,MMF+MTX (Combination),,,,
1795035,1795036,1004,MMF+AZA (Combination),,,,
1794527,1794528,1005,MMF+JAKi (Combination),,,,
1795370,1795371,1006,"MTX+IVIG	(Combination)",,,, 
1795374,1795375,1007,MTX+MMF (Combination),,,,
1795378,1795379,1008,MTX+AZA (Combination),,,,
1795381,1795382,1009,MTX+RTX (Combination),,,,
1795385,1795386,1010,"MTX+JAKi	(Combination)",,,,
1795372,1795373,1011,"AZA+IVIG	(Combination)",,,,
1795375,1795376,1012,AZA+MMF (Combination),,,,
1795377,1795380,1013,AZA+MTX (Combination),,,,
1795383,1795384,1014,AZA+RTX (Combination),,,,
1795387,1795388,1015,AZA+JAKi (Combination),,,,
